Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
1,7,41.18,13,7,1,181,78.02,8,2,13,23,7,46,3,49.0,16,Taxiarchis Fountas,taxiarchis-fountas,Trabzonspor,
1,17,68.0,16,6,3,257,77.88,19,10,8,6,3,42,12,54.0,20,Serdar Gürler,serdar-gurler,Başakşehir FK,
1,18,52.94,22,7,6,274,74.46,22,14,13,23,6,67,13,43.24,26,Max Gradel,max-gradel,Gaziantep FK,
1,33,48.53,32,13,3,447,78.84,21,7,34,24,14,81,12,41.33,25,Jackson,jackson,İstanbulspor,
1,3,60.0,3,2,1,470,85.3,2,0,41,14,5,20,16,54.55,3,Fatih Aksoy,fatih-aksoy,Alanyaspor,
1,19,70.37,16,4,2,438,81.26,9,2,44,32,20,59,14,42.94,8,Ali Kaan Güneren,ali-kaan-guneren,MKE Ankaragücü,
1,7,46.67,9,1,2,761,76.87,9,14,49,27,19,51,31,53.25,17,Lucas Lima,lucas-lima,Başakşehir FK,
1,7,53.85,16,6,0,519,84.67,6,0,28,27,7,51,27,54.55,17,Leroy Fer,leroy-fer,Alanyaspor,
1,8,40.0,10,4,2,240,75.95,14,7,2,22,8,51,19,46.05,22,Iron Gomis,iron-gomis,Kasımpaşa,
1,1,33.33,8,3,1,429,77.86,1,0,46,15,4,29,29,52.73,13,Salih Dursun,salih-dursun,Fatih Karagümrük,
1,3,60.0,13,2,0,452,80.0,5,1,25,23,26,42,30,59.02,17,Marko Jevtović,marko-jevtovic,Gaziantep FK,
