Gol,Gol Beklentisi (xG),Toplam Şut,İsabetli Şut,Pozisyonu Gole Çevirme %,Başarılı Top Sürme,Başarılı Top Sürme %,Yaratılan Büyük Şans,Kilit Pas,Rakip Gol Bölgesinde İsabetli Pas,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
2,1.47,32,7,6.25,47,51.09,4,17,125,151,12,50.78,61,Marlos Moreno,marlos-moreno,,Konyaspor
2,1.09,18,6,11.11,4,66.67,1,10,104,76,38,59.69,22,Welinton,welinton,,Pendikspor
2,1.38,26,10,7.69,23,51.11,5,22,112,66,11,42.54,20,Ryan Mendes,ryan-mendes,,Fatih Karagümrük
2,2.22,15,3,13.33,3,60.0,1,4,32,51,43,63.95,14,Nicolas N'Koulou,nicolas-nkoulou,,Gaziantep FK
2,1.13,10,3,20.0,13,61.9,1,20,189,47,7,45.76,11,Sofiane Feghouli,sofiane-feghouli,,Fatih Karagümrük
2,1.82,17,8,11.76,9,47.37,1,10,70,54,4,48.74,19,Taxiarchis Fountas,taxiarchis-fountas,,Trabzonspor
2,1.56,18,9,11.11,18,51.43,2,20,127,39,3,40.0,8,Lazar Marković,lazar-markovic,,Gaziantep FK
2,0.93,17,4,11.76,3,50.0,0,5,81,50,37,61.7,19,Marko Jevtović,marko-jevtovic,,Gaziantep FK
2,2.53,22,9,9.09,16,50.0,1,13,157,67,19,45.74,19,Taylan Antalyalı,taylan-antalyali,Yılport Samsunspor,
2,3.29,23,10,8.7,7,25.0,6,19,177,79,9,42.51,22,Yusuf Özdemir,yusuf-ozdemir,Alanyaspor,
2,0.7,9,4,22.22,7,63.64,1,11,64,13,1,45.16,2,Robert Murić,robert-muric,Konyaspor,
2,3.01,36,9,5.56,26,40.0,5,28,134,67,8,38.27,28,Valon Ethemi,valon-ethemi,Konyaspor,
2,4.02,33,9,6.06,10,47.62,2,9,69,25,30,37.67,10,Kevin Lasagna,kevin-lasagna,Fatih Karagümrük,
2,3.26,23,8,8.7,13,50.0,2,12,107,71,23,39.0,27,Mendy Mamadou,mendy-mamadou,İstanbulspor,
